Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|PAC Name
AMERITAS INVESTMENT CORP|99CUA00370|10/18/2010|nadc06|10/12/2010|10/08/2010|8280235|C|||
B AND A ENTERPRISES|10CUA06560|10/18/2010|nadc06|10/12/2010|10/07/2010|8280238|C|||
GRETNA PUBLIC SCHOOLS FOUNDATION|10CUA06649|04/05/2011|nadc05|10/12/2010|10/08/2010|8280242|L|||
HASTINGS STATE BANK|10CUA06645|10/18/2010|nadc06|10/12/2010|10/08/2010|8280247|C|||
NE CENTRAL TELEPHONE COMPANY |99CUA00943|10/18/2010|nadc06|10/12/2010|10/08/2010|8280248|C|||
WASTE MANAGEMENT OF COLORADO, INC.|10CUA06651|10/12/2010|nadc05|03/06/2006|03/06/2006|7200018|C|||
LARRY MALICKY OD, PC|10CUA06666|11/15/2010|nadc06|11/10/2010|11/09/2010|8310096|C|||
HY-VEE FOOD STORE|99CON06783|11/05/2010|nadc06|12/08/2009|12/07/2009|8050084|C|||
LEAGUE OF NEBRASKA MUNICIPALITIES|99CUA01861|11/15/2010|nadc06|11/10/2010|11/10/2010|8310097|C|||
CHICKEN COOP SPORTS BAR & GRILL OF GRAND ISLAND|10CUA06382|12/01/2010|nadc06|11/23/2010|11/22/2010|8310149|C|||
KIEWIT CORPORATION|99CUA00081|12/06/2010|nadc06|11/30/2010|11/29/2010|8310168|C|||
WAL-MART STORES, INC|99CUA02948|12/06/2010|nadc06|11/30/2010|11/29/2010|8310175|C|||
WERNER ENTERPRISES, INC.|99CUA00553|12/13/2010|nadc06|12/07/2010|12/06/2010|8310209|C|||
CR INVESTMENTS INC.|11CUA06746|01/19/2011|nadc06|01/10/2011|01/07/2011|8330233|C|||
SECURITY NATIONAL CORPORATION|99CUA02993|02/09/2011|nadc06|02/04/2011|02/03/2011|8350230|C|||
NE STATE EDUCATION ASSOCIATION|99CUA00350|02/14/2011|nadc06|02/07/2011||8360072|C|||
JENSEN ASSOCIATES, INC.|99CUA00066|02/14/2011|nadc06|02/07/2011|02/07/2011|8360066|C|||
TEAMSTERS JOINT COUNCIL NO 554 / 81 DRIVE|99CUA00090|02/14/2011|nadc06|02/07/2011||8360076|C|||
BALLEW, COVALT, PC, LLO|06CUA03918|02/14/2011|nadc06|02/08/2011|02/07/2011|8360056|C|||
NE HOSPITAL ASSOCIATION|99CUA00111|02/14/2011|nadc06|02/09/2011||8360070|C|10PAC00164|01/31/2011: OFFICE SUPPLIES AND EXPENSES POSTAGE COPIES CREDIT CARD FEES    01/31/2011: PERSONAL SERVICES PROCESS INCOMING CHECKS TRACK CONTRIBUTIONS AP AR    01/31/2011: PERSONAL SERVICES CONTINUED MEETINGS DUE DILIGENCE IT SUPPORT    01/31/2011: MEETINGS AND TRAVEL EXPENSES    |NE HOSPITAL ASSOCIATION PAC
UNION PACIFIC RAILROAD COMPANY|99CUA00078|02/14/2011|nadc06|02/09/2011||8360078|C|||
NE BANKERS ASSOCIATION|99CUA00925|02/14/2011|nadc06|02/09/2011|02/08/2011|8360069|I|99PAC00041|1/31/11    Color Copies|NE BANKERS STATE PAC
INSURANCE RESEARCH SERVICES|11CUA06799|02/14/2011|nadc06|02/07/2011|02/04/2011|8360065|C|||
AFLAC|99CUA02918|02/14/2011|nadc06|02/09/2011||8360054|C|||
GREAT PLAINS COMMUNICATIONS, INC.|99CUA00093|02/14/2011|nadc06|02/09/2011||8360063|C|||
ERICKSON & SEDERSTROM, P.C.|99CUA00201|02/23/2011|nadc06|02/17/2011||8360157|C|||
CATERING CREATIONS|10CUA06719|02/28/2011|nadc06|02/23/2011|02/22/2011|8360243|C|||
MICHAEL\'S AT THE MARKET, INC.|08CON13879|02/28/2011|nadc06|02/24/2011|02/23/2011|8360247|C|||
MUTUAL OF OMAHA INSURANCE COMPANY|99CUA00683|02/23/2011|nadc06|02/14/2011|02/09/2011|8360160|C|||
KELLEY &  JERRAM PC LLO|08CUA04796|02/28/2011|nadc05|03/09/2010|03/09/2010|8150184|C|||
VETTER HEALTH SERVICES, INC.|99CUA00338|03/07/2011|nadc06|03/04/2011|03/03/2011|8380047|C|||
NE STATE EDUCATION ASSOCIATION|99CUA00350|03/07/2011|nadc06|03/04/2011||8380044|C|||
PINNACLE BANK |99CUA02361|04/01/2011|nadc01|04/23/1997|04/21/1997|5060170|C|||
PINNACLE BANK |99CUA02361|04/01/2011|nadc01|05/12/2003|05/09/2003|6610238|C|||
PINNACLE BANK |99CUA02361|04/01/2011|nadc01|06/06/2006|06/05/2006|7310230|C|||
PINNACLE BANK |99CUA02361|04/01/2011|nadc01|03/24/2008|03/21/2008|7710242|C|||
PINNACLE BANK |99CUA02361|04/01/2011|nadc01|03/26/2010|03/25/2010|8180018|C|||
OMAHA EXPOSITION & RACING, DBA HORSEMEN\'S PARK|99CUA02308|04/01/2011|nadc01|06/07/2001|06/06/2001|6190140|C|||
OMAHA EXPOSITION & RACING, DBA HORSEMEN\'S PARK|99CUA02308|04/01/2011|nadc01|01/08/2002|01/07/2002|6230225|C|||
EYMAN PLUMBING|11CUA06794|04/05/2011|nadc06|04/01/2011|03/31/2011|8450001|C|||
GREATER OMAHA PACKING CO., INC.|99CUA01940|04/05/2011|nadc06|04/01/2011|03/31/2011|8450002|C|||
NOVARTIS PHARMACEUTICALS|99CUA00472|04/01/2011|nadc01|03/03/2008|02/28/2008|7680007|C|||
NOVARTIS PHARMACEUTICALS|99CUA00472|04/01/2011|nadc01|05/18/2005|05/15/2005|7050057|C|||
NOVARTIS PHARMACEUTICALS|99CUA00472|04/01/2011|nadc01|02/11/2008|02/09/2008|7650088|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|09/11/2006|09/07/2006|7350130|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|07/26/2004|07/20/2004|6830114|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|06/21/2004|06/16/2004|6820128|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|04/06/2004|04/02/2004|6770221|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|03/05/2004|03/02/2200|6700191|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|04/04/2003|04/01/2003|6600137|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|09/12/2002|09/09/2002|6430243|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|03/11/2002|03/06/2002|6330212|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|01/07/2002|12/12/2001|6230232|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|07/12/1999|07/09/1999|5740178|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|04/08/1999|04/05/1999|5690235|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|03/22/1999|03/22/1999|5660141|C|||
PFIZER, INC|06CUA04348|04/04/2011|nadc01|10/17/1994|10/18/1994|4340051|C|||
NE BANKERS ASSOCIATION|99CUA00925|04/18/2011|nadc01|04/12/2011|04/08/2011|8450225|I|99PAC00041|3/31/10   Administrative Services  3/31/10   Color Copies, Postage, Office Supplies,            Committee meeting mileage & Lodging|NE BANKERS STATE PAC
KIEWIT CORPORATION|99CUA00081|05/31/2011|nadc01|05/27/2011|05/26/2011|8470176|C|||
PLUMBERS LOCAL UNION NO. 16 COPE FUND|99CUA00063|06/27/2011|nadc01|06/22/2011|06/21/2011|8480073|L|||
KSI CONSTRUCTION|09CON14486|07/11/2011|nadc01|06/27/2011|06/25/2011|8480122|C|||
HANSEN CONSTRUCTION|11CUA06838|07/11/2011|nadc01|06/28/2011|06/27/2011|8480121|C|||
VALENTINO\'S|99CUA02944|07/11/2011|nadc01|06/29/2011|06/28/2011|8480125|C|||
EXPRESS SERVICES, INC.|99CUA00764|07/11/2011|nadc01|06/29/2011|06/28/2011|8480119|C|||
GERING EDUCATION ASSOCIATION|99CUA02249|07/11/2011|nadc01|07/01/2011|06/29/2011|8480120|P|||
BRONCO\'S LAND CO.|99CUA00080|07/11/2011|nadc01|07/01/2011|07/01/2011|8480118|C|||
KIEWIT CORPORATION|99CUA00081|07/11/2011|nadc01|07/05/2011|07/01/2011|8480148|C|||
AMERICAN MEDICAL ASSOCIATION|06CUA03814|07/11/2011|nadc01|07/06/2011|06/30/2011|8480141|P|||
HILL TRUCK LINE, INC.|99CUA01603|07/11/2011|nadc01|07/06/2011|06/29/2011|8480145|C|||
TEAMSTERS JOINT COUNCIL NO 554 / 81 DRIVE|99CUA00090|07/11/2011|nadc01|07/06/2011||8480153|C|||
PDM, INC.|99CUA00112|07/11/2011|nadc01|07/06/2011||8480151|C|||
COX COMMUNICATIONS, INC.|99CUA00739|07/11/2011|nadc01|07/07/2011|07/01/2011|8480143|C|||
CAMBRIDGE TELEPHONE COMPANY|99CUA00628|07/11/2011|nadc01|07/07/2011|07/05/2011|8480142|C|||
AMERICAN GAS ASSOCIATION|99CON07008|07/11/2011|nadc01|07/08/2011|07/08/2011|8480140|I|||
O\'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|07/18/2011|nadc01|07/11/2011||8480171|C|||
GREAT PLAINS COMMUNICATIONS, INC.|99CUA00093|07/18/2011|nadc01|07/11/2011||8480166|C|||
NE HOSPITAL ASSOCIATION|99CUA00111|07/18/2011|nadc01|07/11/2011||8480169|C|10PAC00164|06/30/2011: OFFICE SUPPLIES AND EXPENSES POSTAGE COPIES CREDIT CARD FEES    06/30/2011: PERSONAL SERVICES PROCESS INCOMING CHECKS TRACK CONTRIBUTIONS AP AR    06/30/2011: PERSONAL SERVICES CONTINUED MEETINGS DUE DILIGENCE IT SUPPORT    |NE HOSPITAL ASSOCIATION PAC
NE STATE EDUCATION ASSOCIATION|99CUA00350|07/18/2011|nadc01|07/11/2011||8480170|C|||
LINCOLN FIRE FIGHTERS ASSN. LOCAL #644|99CON00605|07/18/2011|nadc01|07/13/2011|07/12/2011|8480168|L|||
PLUMBERS LOCAL UNION NO. 16 COPE FUND|99CUA00063|07/25/2011|nadc01|07/20/2011|07/19/2011|8480186|L|||
PFIZER, INC|06CUA04348|08/01/2011|nadc01|07/25/2011|07/19/2011|8480202|C|||
JON GILFRY INVESTMENTS CO.|09CUA06292|08/01/2011|nadc01|07/29/2011|07/28/2011|8480201|C|||
HAWKINS CONSTRUCTION COMPANY|99CUA00109|08/08/2011|nadc01|08/01/2011||8480218|C|||
CONAGRA FOODS, INC.|99CUA00108|08/15/2011|nadc01|08/10/2011|08/10/2011|8480238|C|||
NE BANKERS ASSOCIATION|99CUA00925|08/15/2011|nadc01|08/10/2011|08/09/2011|8480248|I|99PAC00041|postage, administrative services, color copies|NE BANKERS STATE PAC
PEETZ & COMPANY|05CUA03226|08/15/2011|nadc01|08/12/2011||8490003|C|||
NE PRINTING CENTER|06CUA03535|08/15/2011|nadc01|08/12/2011|08/11/2011|8490001|C|||
FIRST NATIONAL OF NEBRASKA|99CUA00117|08/17/2011|nadc01|08/17/2011||0|C|||
LYMAN-RICHEY CORPORATION|99CUA00227|09/06/2011|nadc01|08/29/2011||8490045|C|||
BROGAN & GRAY, PC, LLO|11CUA06846|09/06/2011|nadc01|08/29/2011|08/27/2011|8490038|C|||
CONSORTIA CONSULTING|08CUA04750|01/26/2012|nadc01|08/29/2011|08/29/2011|8490039|C|||
SWAIN CONSTRUCTION INC.|99CUA03031|09/06/2011|nadc01|08/29/2011|08/26/2011|8490049|C|||
WELLS FARGO BANK|10CUA06559|04/23/2010|nadc01|11/09/2005|11/08/2005|7090183|C|||
WELLS FARGO BANK|10CUA06559|04/23/2010|nadc01|04/05/2004|04/05/2004|6770225|C|||
WELLS FARGO BANK|10CUA06559|04/23/2010|nadc01|12/13/2001|12/12/2001|6220198|C|||
ARCHER DANIELS MIDLAND COMPANY|99CUA01859|04/26/2010|nadc06|04/23/2010|04/21/2010|8210167|C|||
ELI LILLY & COMPANY|99CON06293|04/26/2010|nadc06|04/23/2010|04/23/2010|8210177|C|||
AMERICAN NATIONAL BANK - OMAHA|99CON01398|05/04/2010|nadc06|04/26/2010|04/23/2010|8220107|C|||
EATMON WELL SERVICE CO.|10CUA06497|05/04/2010|nadc06|04/26/2010|04/22/2010|8220111|C|||
ENTERPRISE PROPERTIES, INC.|09CUA05928|05/04/2010|nadc06|04/26/2010|04/26/2010|8220114|C|||
OGALLALA EDUCATION ASSOCIATION|06CUA03852|05/04/2010|nadc06|04/26/2010|04/23/2010|8220120|L|||
PACIFIC LIFE INSURANCE COMPANY|99CUA03090|05/04/2010|nadc06|04/26/2010|04/21/2010|8220121|C|||
REINKE MANUFACTURING CO., INC.|08CUA04692|05/04/2010|nadc06|04/26/2010|04/23/2010|8220123|C|||
FIRST STATE BANK (LINCOLN) OLD CHENEY|99CON07567|05/04/2010|nadc06|04/27/2010|04/26/2010|8220117|C|||
STRATEGIC PLANNING INC.|10CUA06535|05/04/2010|nadc06|04/27/2010|04/26/2010|8220125|C|||
AMERITAS INVESTMENT CORP|99CUA00370|05/04/2010|nadc06|04/28/2010|04/27/2010|8220108|C|||
AMERITAS INVESTMENT CORP|99CUA00370|05/04/2010|nadc06|04/28/2010|04/27/2010|8220109|C|||
CARLSON WEST POVONDRA ARCHITECTS|06CUA04021|05/04/2010|nadc06|04/28/2010|04/27/2010|8220110|C|||
H & H CHEVROLET, LLC|99CUA00481|05/04/2010|nadc06|04/28/2010||8220118|C|||
NIK CONSTRUCTION SERVICES, INC.|10CUA06552|05/04/2010|nadc06|04/28/2010|04/26/2010|8220119|C|||
ALBECK GERKEN, INC.|10CUA06459|05/04/2010|nadc06|04/29/2010|04/29/2010|8220106|C|||
PLUMBERS LOCAL UNION NO. 16 COPE FUND|99CUA00063|05/04/2010|nadc06|04/29/2010|04/28/2010|8220122|L|||
HAWKINS CONSTRUCTION COMPANY|99CUA00109|05/12/2010|nadc06|05/03/2010||8230171|C|||
GREAT PLAINS COMMUNICATIONS, INC.|99CUA00093|05/12/2010|nadc06|05/03/2010||8230168|C|||
NE COLORADO CELLULAR, INC DBA VIAERO WIRELESS|06CUA03862|05/12/2010|nadc06|05/04/2010||8230180|C|||
AYARS & AYARS, INC.|99CUA02611|05/12/2010|nadc06|05/03/2010|04/29/2010|8230154|C|||
BRONCO\'S HOLDING COMPANY|99CUA00324|10/21/2010|nadc05|05/03/2010|04/29/2010|8230161|C|||
CH2M HILL|99CUA03185|05/12/2010|nadc06|05/03/2010|04/29/2010|8230162|C|||
CORNHUSKER BANK|99CUA00139|05/12/2010|nadc06|05/03/2010|04/30/2010|8230165|C|||
JENSEN ASSOCIATES, INC.|99CUA00066|05/12/2010|nadc06|05/03/2010|05/03/2010|8230174|C|||
KIEWIT CORPORATION|99CUA00081|05/12/2010|nadc06|05/03/2010|04/29/2010|8230176|C|||
LINCOLN CHAMBER OF COMMERCE|99CUA02135|05/12/2010|nadc06|05/03/2010|04/30/2010|8230177|C|||
TURNER CONSTRUCTION CO.|10CUA06564|05/12/2010|nadc06|05/03/2010|04/29/2010|8230188|C|||
B AND A ENTERPRISES|10CUA06560|05/12/2010|nadc06|05/05/2010|05/03/2010|8230155|C|||
BLACK & VEATCH CORPORATION|09CUA06216|05/12/2010|nadc06|05/05/2010|05/05/2010|8230158|C|||
BLUE CROSS AND BLUE SHIELD OF NEBRASKA|99CUA00070|05/12/2010|nadc06|05/05/2010|05/04/2010|8230160|C|||
AFLAC|99CUA02918|05/12/2010|nadc06|05/05/2010||8230152|C|||
NESBITT AND ASSOCIATES, INC.|10CUA06543|05/12/2010|nadc06|05/05/2010|05/05/2010|823184|C|||
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 22|99CUA00225|05/12/2010|nadc06|05/06/2010||8230172|C|||
BANK OF NEBRASKA-LAVISTA|99CON01394|05/12/2010|nadc06|05/06/2010|05/05/2010|8230156|C|||
BLACK HILLS ENERGY|10CON15035|08/05/2010|nadc06|05/06/2010|05/05/2010|8230159|C|||
O\'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|02/03/2011|nadc01|05/06/2010||8230185|C|||
RELIV INTERNATIONAL, INC.|10CUA06576|05/12/2010|nadc06|05/06/2010|05/03/2010|8230187|C|||
KELLEY &  JERRAM PC LLO|08CUA04796|05/12/2010|nadc06|05/06/2010|05/06/2010|8230175|C|||
ALLERGAN, INC. (C/O NIELSEN MERKSAMER, ET AL)|10CUA06471|05/12/2010|nadc06|05/07/2010|05/07/2010|8230153|C|||
BEARDMORE CHEVROLET, INC.|99CUA01267|05/12/2010|nadc06|05/07/2010|05/06/2010|8230157|C|||
HDR, INC.|99CUA00046|05/12/2010|nadc06|05/07/2010|05/06/2010|8230170|C|||
JEFF DINKLAGE ARGI-BUSINESS, INC.|10CUA06574|05/12/2010|nadc06|05/07/2010|05/06/2010|8230173|C|||
NP DODGE COMPANY|99CUA00861|05/12/2010|nadc06|05/07/2010|05/05/2010|8230179|C|||
NE FARM BUREAU FEDERATION|99CUA00799|05/12/2010|nadc06|05/07/2010|05/06/2010|8230181|I|99PAC00055|April    Secretary-Duplication & filing of materials.  2010     Treasurer-Accounting functions including            making deposits, writing checks, & preparing           reports.    4/16/2010 $3/90-NFAC, Reimbursement for copies  4/19/2010 $21.23-FBL Financial Group, Postage|NE FARM BUREAU FEDERATION PAC
NE STATE AFL - CIO|99CUA02736|05/12/2010|nadc06|05/07/2010|05/06/2010|8230183|L|||
UNF CHARITABLE GIFT FUND|10CUA06470|05/12/2010|nadc06|05/07/2010|05/06/2010|8230189|C|||
TEAMSTERS JOINT COUNCIL NO 554 / 81 DRIVE|99CUA00090|05/17/2010|nadc06|05/10/2010||8240035|C||04/13/2010: MEYER TELESERVICES-ROBO CALL -$419.85    04/28/2010: THE CONTACT GROUP - ROBO CALL- $114.24    |
NE STATE EDUCATION ASSOCIATION|99CUA00350|06/14/2010|nadc01|05/10/2010||8240026|C|||
NE HOSPITAL ASSOCIATION|99CUA00111|05/17/2010|nadc06|05/10/2010||8240025|C|10PAC00164|04/05/2010: ORGANIZATIONAL FILING FEE    04/30/2010: SOFTWARE    04/30/2010: OTHER EXPENSES - WEB SITE LINK, CONFERENCE CALLS    04/30/2010: OFFICE SUPPLIES - CHECKS, DEPOSIT SLIPS, POSTAGE, ENVELOPES, ETC.    04/30/2010: PERSONAL SERVICES - PROCESS INCOMING CHECKS, TRACK CONTRIBUTIONS, A/P, A/R    04/30/2010: PERSONAL SERVICES CONTINUED - IT SUPPORT, DUE DILIGENCE,MAILINGS,CONF.CALLS    |NE HOSPITAL ASSOCIATION PAC
PFIZER, INC|06CUA04348|05/17/2010|nadc06|05/10/2010|05/05/2010|8240030|C|||
MALLARD SAND & GRAVEL CO. / OMG MIDWEST|99CUA00215|06/01/2010|nadc06|05/28/2010|05/27/2010|8240116|C|||
HOLLAND BASHAM ARCHITECTS|06CUA03599|06/07/2010|nadc06|06/01/2010||8240157|C|||
PDM, INC.|99CUA00112|06/07/2010|nadc06|06/01/2010||8240164|C|||
AMERITAS LIFE INSURANCE CORP|99CUA02617|06/07/2010|nadc06|06/01/2010|05/28/2010|8240146|C|||
DIVERSION SERVICES, INC.|10CUA06561|06/07/2010|nadc06|06/01/2010|05/28/2010|8240150|C|||
TENASKA, INC.|99CUA00714|06/07/2010|nadc06|06/01/2010|05/28/2010|8240167|C|||
US BANCORP|99CUA03189|06/07/2010|nadc06|06/01/2010|05/28/2010|8240168|C|||
EHPV LOTTERY SERVICES LLC|08CUA04940|06/07/2010|nadc06|06/02/2010|06/01/2010|8240151|C|||
LUND COMPANY INVESTMENTS, INC.|99CUA01975|06/07/2010|nadc06|06/02/2010|06/01/2010|8240160|C|||
HAWKINS CONSTRUCTION COMPANY|99CUA00109|06/07/2010|nadc06|06/02/2010||8240156|C|||
WOODKE, OTEPKA & GIBBONS P.C.|99CUA02650|06/14/2005|nadc02|06/09/2005|06/07/2005|7060063|C|||
GENTRAN CORP|05CUA03276|07/11/2005|nadc01|07/06/2005|07/05/2005|7070015|C||\'\'|
GREAT PLAINS COMMUNICATIONS, INC.|99CUA00093|07/11/2005|nadc01|07/06/2005|07/05/2005|7070016|C||\'\'|
MID AMERICA BIO ENERGY & COMMODITIES, LLC|05CUA03307|07/20/2005|nadc01|07/13/2005|07/11/2005|7070068|C||\'\'|
TENASKA, INC.|99CUA00714|07/25/2005|nadc01|07/19/2005|07/18/2005|7070103|C||\'\'|
STERRETT BROTHER SANITATION|99CUA02910|11/14/2005|nadc01|11/07/2005|11/04/2005|7090177|C|||
UNITED TRANSPORTATION UNION|99CUA00249|11/14/2005|nadc01|11/07/2005|11/05/2005|7090180|L|||
UNION PACIFIC RAILROAD COMPANY|99CUA00078|11/21/2005|nadc01|11/16/2005|11/10/2005|7090220|C|||
KELLEY &  LEHAN PC|99CUA00067|10/09/2007|nadc06|10/05/2007|10/04/2007|7590233|C|||
NE BANKERS ASSOCIATION|99CUA00925|10/09/2007|nadc06|10/05/2007|10/04/2007|7590238|I|99PAC00041|9/11/2007  Postage-PAC Materials  9/14/2007  Administrative & Secretarial Support  9/17/2007  Postage-PAC Materials   9/25/2007  Postage-PAC Materials   9/25/2007  Office Supplies-Use Tax  9/28/2007  Administrative & Secretarial Support  9/28/2007  Postage|NE BANKERS STATE PAC
HAWKINS CONSTRUCTION COMPANY|99CUA00109|07/13/2009|nadc06|07/07/2009||8020241|C|||
IDEAL - IMAGES |05CUA03308|07/20/2005|nadc01|07/14/2005|07/13/2005|7070065|C||\'\'|
PDM, INC.|99CUA00112|03/17/2011|nadc04|12/02/2009||8050061|C|||
LYMAN-RICHEY CORPORATION|99CUA00227|10/26/2009|nadc06|10/20/2009||8040135|C|||
E & A CONSULTING GROUP, INC.                |99CUA00220|10/26/2009|nadc06|10/21/2009|10/20/2009|8040131|C|||
TEAMSTERS JOINT COUNCIL NO 554 / 81 DRIVE|99CUA00090|12/07/2009|nadc06|12/03/2009||8050063|C|||
NE STATE AFL - CIO|99CUA02736|12/07/2009|nadc06|12/03/2009|12/02/2009|8050059|L|||
O\'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|12/07/2009|nadc06|12/03/2009||8050060|C|||
HAWKINS CONSTRUCTION COMPANY|99CUA00109|12/07/2009|nadc06|12/04/2009||8050054|C|||
LAREDO RIDGE WIND, LLC|09CUA06354|12/07/2009|nadc06|12/04/2009|12/02/2009|8050056|C|||
CASH AMERICA INTERNATIONAL, INC.|09CUA06355|12/07/2009|nadc06|12/04/2009|12/04/2009|8050052|C|||
AYARS & AYARS, INC.|99CUA02611|12/15/2009|nadc06|12/07/2009|12/04/2009|8050074|C|||
KUCIREK ENGINEERING, INC.|05CUA03315|07/25/2005|nadc01|07/19/2005|07/18/2005|7070098|C||\'\'|
TILLEY SPRINKLER SYSTEMS, INC.|99CUA00814|07/25/2005|nadc01|07/19/2005|07/18/2005|7070105|C||\'\'|
CELEBRITY HOMES, INC.|99CUA00733|12/15/2009|nadc06|12/07/2009|12/03/2009|8050076|C|||
CREDIT MANAGEMENT SERVICES, INC.|99CON07461|12/15/2009|nadc06|12/07/2009|12/04/2009|8050077|C|||
E. I. DU PONT DE NEMOURS COMPANY|99CUA01268|12/15/2009|nadc06|12/07/2009|12/02/2009|8050080|C|||
MCARDLE GRADING CO.|99CUA00493|12/15/2009|nadc06|12/07/2009|12/04/2009|8050087|C|||
MUTUAL OF OMAHA INSURANCE COMPANY|99CUA00683|12/15/2009|nadc06|12/07/2009|12/04/2009|8050089|C|99PAC00034|November    70 hours of personal service of two employees  2009        in connection with the administration of              IMPAC, a separate segregated political fund.|MUTUAL OF OMAHA COMPANIES PAC (IMPAC)
SID DILLION INC. (BUICK NISSAN HYUNDAI SAAB)|09CUA06025|12/15/2009|nadc06|12/07/2009|12/02/2009|8050094|C|||
UNION PACIFIC RAILROAD COMPANY|99CUA00078|12/15/2009|nadc06|12/07/2009||8050095|C|||
RDG SCHUTTE WILSCAM BIRGE, INC.|99CUA00232|12/15/2009|nadc06|12/08/2009|12/07/2009|8050092|C|||
RIGHTWAY, INC.|09CUA06356|12/15/2009|nadc06|12/08/2009|12/07/2009|8050093|C|||
WAL-MART STORES, INC|99CUA02948|12/15/2009|nadc06|12/08/2009|12/08/2009|8050096|C|||
HOPPE, INC.|99CUA02683|12/15/2009|nadc06|12/09/2009|12/08/2009|8050083|C|||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|12/15/2009|nadc06|12/09/2009|12/09/2009|8050075|C|||
MEDCO HEALTH SOLUTIONS, INC.|06CUA03654|12/15/2009|nadc06|12/10/2009||8050088|C|||
GREAT PLAINS COMMUNICATIONS, INC.|99CUA00093|12/15/2009|nadc06|12/10/2009||8050081|C|||
NE STATE EDUCATION ASSOCIATION|99CUA00350|12/15/2009|nadc06|12/10/2009||8050091|C|||
EHPV LOTTERY SERVICES LLC|08CUA04940|12/15/2009|nadc06|12/10/2009|12/08/2009|8050079|C|||
NE BANKERS ASSOCIATION|99CUA00925|01/17/2007|nadc02|01/08/2007|01/05/2007|7420199|I|99PAC00041|christmas poinsettia - Chairman  administrative and secretarial support, postage|NE BANKERS STATE PAC
ANHEUSER-BUSCH COMPANIES|99CUA00091|01/17/2007|nadc02|01/08/2007|01/08/2007|7420191|C|||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|01/17/2007|nadc02|01/08/2007|01/08/2007|7420193|C|||
RENT-A-CENTER, INC|06CUA04374|08/16/2007|nadc06|07/30/2007|07/26/2007|7590033|C|||
SECURITAS SECURITY SERVICES USA, INC|06CUA03957|01/17/2007|nadc02|01/09/2007|01/09/2007|7420203|C|||
COX COMMUNICATIONS, INC.|99CUA00739|08/20/2007|nadc06|08/17/2007|08/16/2007|7590070|C|||
GREAT PLAINS COMMUNICATIONS, INC.|99CUA00093|08/23/2007|nadc06|08/17/2007|08/16/2007|7590072|C|||
HAMPTON ENTERPRISES, INC.|99CUA02490|08/27/2007|nadc06|08/23/2007|08/23/2007|7590090|C|||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|08/27/2007|nadc06|08/20/2007|08/17/2007|7590089|C|||
AG EWARDS & SONS, INC.|07CUA04601|08/27/2007|nadc06|08/23/2007|08/23/2007|7590088|C|||
COUNTRYSIDE VILLAGE INC|99CUA02954|01/17/2007|nadc02|01/10/2007|01/09/2007|7420194|C|||
UNION BANK & TRUST|99CUA02731|08/27/2007|nadc06|08/23/2007|08/22/2007|7590091|C|||
TEAMSTERS JOINT COUNCIL NO 554 / 81 DRIVE|99CUA00090|02/13/2007|nadc04|12/06/2006|12/04/2006|7410137|L|||
PFIZER, INC|06CUA04348|02/11/2008|nadc01|01/10/2007|01/04/2007|7420202|C|||
LYMAN-RICHEY CORPORATION|99CUA00227|09/10/2007|nadc06|09/04/2007|08/31/2007|7590126|C|||
CENTRAL PUBLIC  EDUCATION ASSOCIATION|07CUA04665|09/10/2007|nadc06|09/04/2007|08/31/2007|7590120|P|||
LYMAN-RICHEY CORPORATION|99CUA00227|09/10/2007|nadc06|09/04/2007|08/31/2007|7590127|C|||
SCHEMMER ASSOCIATES, THE|99CUA02446|09/17/2007|nadc06|09/14/2007|09/13/2007|7590167|C|||
ALFRED BENESCH & COMPANY (FKA HWS CONSULTING)|99CUA02668|10/01/2007|nadc06|09/26/2007|09/25/2007|7590205|C|||
H & H CHEVROLET, LLC|99CUA00481|10/01/2007|nadc06|09/26/2007|09/25/2007|7590204|C|||
HOLLAND BASHAM ARCHITECTS|06CUA03599|10/01/2007|nadc06|09/26/2007|09/25/2007|7590206|C|||
WOLTEMATH/OTIS DEVELOPMENT, INC.|05CUA03258|10/01/2007|nadc06|09/26/2007|09/25/2007|7590212|C|||
