Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
TRISH LANPHIER FOR DOUGLAS CLERK OF THE DIST.COURT|06CAC00818|12/18/2007|11/02/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN NE 68504|CARDS, ENVELOPES, MAILING AND POSTAGE|0|1|12/31/2007|2932.62|4918
STOTHERT FOR LEGISLATURE|06CAC00766|05/02/2006|04/01/2006|JOSEPH STOTHERT|5909 SOUTH 118TH PLAZA OMAHA NE 68137|REIMBURSEMENT FOR SUPPLIES|0|1|04/20/2006|162.48|3802
NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL|06BQC00131|01/23/2008|07/28/2007|FIELDWORKS|2852 CONNECTICUT AVENUE NW|FINAL PROGRAM EXPENSES- WAGES|0||04/18/2007|20000|5911
SUSAN SCOTT FOR LEGISLATURE (DISSOLVED)|07CAC01067|01/23/2008|12/31/2007|ALCHEMY ASSOCIATES, LLC|PO BOX 83481, LINCOLN, NE 68501|CAMPAIGN MANAGEMENT SERVICES|750|0||0|5912
SENKBILE FOR LEGISLATURE COMMITTEE|06CAC00799|01/23/2008|12/13/2006|PHILIP M YOUNG COMPANY||CONSULTING|0|1|12/31/2007|1351.43|5913
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/25/2008|12/31/1998|CAROL HUDKINS, CANDIDATE||MILEAGE, LUNCHES, TRAVEL & SUPPLIES 1998|0|1|12/27/2007|530.18|5923
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/25/2008|12/31/2000|CAROL HUDKINS, CANDIDATE||MILEAGE, LUNCHES, TRAVEL & SUPPLIES 2000|0|1|12/27/2007|50.26|5923
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/25/2008|12/31/2001|CAROL HUDKINS, CANDIDATE||MILEAGE, LUNCHES, TRAVEL & SUPPLIES 2001|0|1|12/27/2007|1846.81|5923
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/25/2008|12/31/2002|CAROL HUDKINS, CANDIDATE||MILEAGE, LUNCHES, TRAVEL & SUPPLIES 2002|0|1|12/27/2007|2052.48|5923
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/25/2008|12/31/2007|CAROL HUDKINS||MILEAGE, LUNCHES, TRAVEL & SUPPLIES|1500.97|0||0|5923
FRIEND FOR MUD|06CAC00942|01/12/2007|10/03/2006|LIGHT, INC| |ARTWORK FOR FUNDRAISER|0|1|12/21/2006|50|4563
ANNE BOYLE FOR PUBLIC SERVICE COMMISSION|99CAC00149|02/03/2002|06/19/2001|ANNE BOYLE                    |                                                  |UNRESTRICTED SPENDING                             |0|1|08/22/2001|968|885
ANNE BOYLE FOR PUBLIC SERVICE COMMISSION|99CAC00149|02/01/2008|06/29/2007|CLEAR COMMUNICATIONS||CONSULTING AND PROFESSIONAL SERVICES CONTRACT|0||12/03/2007|3393.79|5609
ERDMAN FOR LEGISLATURE|99CAC00429|01/29/2004|12/30/2003|PHIL ERDMAN||CELL PHONE ALLTEL 2003|700.64|0||0|2122
CAROL RUSSELL FOR REGENT|06CAC00850|04/10/2006|04/04/2006|ZAISS & CO.||LOGO DEVELOPMENT, WEBSITE, STATIONERY, POSTCARDS..|8763.08|0||0|3972
CAROL RUSSELL FOR REGENT|06CAC00850|05/01/2006|04/24/2006|ZAISS & CO.||2 BULK MAILINGS - COST ESTIMATE|19000|0||0|4072
CAROL RUSSELL FOR REGENT|06CAC00850|06/19/2006|04/24/2006|ZAISS & CO.||2 BULK MAILINGS - COST ESTIMATE|0||06/12/2006|17000|4591
CAROL RUSSELL FOR REGENT|06CAC00850|10/10/2006|04/24/2006|ZAISS & CO.||2 BULK MAILINGS - COST ESTIMATE|0|1|06/19/2006|2000|4286
CAROL RUSSELL FOR REGENT|06CAC00850|10/30/2006|10/23/2006|JUDY MONAGHAN|327 S 71ST OMAHA, NE|CAMPAIGN SERVICES|6000|0||0|6066
CAROL RUSSELL FOR REGENT|06CAC00850|10/30/2006|10/23/2006|ZAISS & CO.||INVOICE #1148|35520.72|0||0|6066
CAROL RUSSELL FOR REGENT|06CAC00850|10/30/2006|10/22/2006|ZAISS & CO.||ESTIMATE - CAMPAIGN SERVICES|1500|0||0|6066
CAROL RUSSELL FOR REGENT|06CAC00850|01/16/2007|10/23/2006|ZAISS & CO.||INVOICE #1148|0|1|11/06/2006|35520.72|5107
CAROL RUSSELL FOR REGENT|06CAC00850|01/16/2007|10/22/2006|ZAISS & CO.||ESTIMATE - CAMPAIGN SERVICES|0|1|11/16/2006|1500|5107
CAROL RUSSELL FOR REGENT|06CAC00850|01/16/2007|10/23/2006|JUDY MONAGHAN|327 S 71ST OMAHA, NE|CAMPAIGN SERVICES|0|1|12/01/2006|6000|5107
BARBARA BAIER FOR COMMISSIONER|08CAC01090|10/06/2008|09/25/2008|GOLDENROD PRINTING |2801 CORNHUSKER HWY LINCOLN, NE 68504|POSTCARD PRINTING & MAILING|1674.55|0||0|6961
NEW ERA IN HEALTHCARE (2008)|08BQC00193|05/05/2008|04/28/2008|KNLV RADIO|205 S. 16TH STREET, ORD, NE 68862|ADVERTISING ON LOCAL RADIO STATION|1089|0||0|6102
NEW ERA IN HEALTHCARE (2008)|08BQC00193|05/05/2008|04/28/2008|QUIZ GRAPHIC ARTS, INC.|305 S. 16TH STREET, ORD, NE 68862|ADVERTISING IN WEEKLY NEWSPAPER FOR CAMPAIGN|1564.85|0||0|6102
BARBARA BAIER FOR COMMISSIONER|08CAC01090|10/06/2008|09/11/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|4X8 SIGNS|495.04|0||0|6961
SUSAN SCOTT FOR LEGISLATURE (DISSOLVED)|07CAC01067|10/06/2008|09/25/2008|GOLDENRODDIGITALCOLORPRINTMAIL|2801 CORNHUSKER HWY, LINCOLN, NE 68504|PRINTING AND REPRODUCTION|7850.14|||0|5824
SCUDDER FOR REGENT|07CAC01038|10/06/2008|08/31/2008|SCUDDER LAW FIRM|411 S. 13TH, #200, LINCOLN, NE 68508|PHOTOCOPIES, POSTAGE, PHONE/FAX, EXPENSE REIMBURSE|813.42|||0|5829
SCUDDER FOR REGENT|07CAC01038|10/06/2008|09/09/2008|PIONEER PROMOTIONS & BUSINESS|9270 PIONEER CT., LINCOLN, NE 68520|YARD SIGNS|2910.4|0||0|5829
SCUDDER FOR REGENT|07CAC01038|10/06/2008|09/08/2008|GOLDENROD DIGITAL COLOR PRINT|2801 CORNHUSKER HWY, LINCOLN, NE 68504|STICKERS|501.83|0||0|5829
REGISTER FOR LEGISLATURE|08CAC01093|10/06/2008|09/30/2008|FREMONT PRINTING|511 NORTH BROAD STREET, FREMONT, NE 68025|PRINTING OF MAILING MATERIALS|1234.52|0||0|5834
SCUDDER FOR REGENT|07CAC01038|10/06/2008|09/29/2008|PIONEER PROMOTIONS & BUSINESS|9270 PIONEER CT., LINCOLN, NE 68520|YARD SIGNS|1711.47|0||0|5829
SCUDDER FOR REGENT|07CAC01038|10/06/2008|09/10/2008|GOLDENROD DIGITAL COLOR PRING|2801 CORNHUSKER HWY, LINCOLN, NE 68504|FOOTBALL SCHEDULES|876.33|0||0|5829
COMMITTEE TO ELECT COLBY COASH|07CAC01045|10/06/2008|05/15/2008|MCGRAIN, BERRYMAN & MINES||PRINTING|0|1|08/16/2008|6588|5830
REGISTER FOR LEGISLATURE|08CAC01093|10/06/2008|08/01/2008|VICTOR OUTDOOR ADVERTISING|1100 SOUTH BUD BLVD, FREMONT, NE  69025|MONTHS RENT FOR BILLBOARDS|1128.03|0||0|5834
MCCOLLISTER FOR PSC|07CAC01064|10/06/2008|09/10/2008|COSTCO|12300 WEST DODGE ROAD, OMAHA, NE |REFRESHMENTS FOR FUNDRAISER - PAYABLE TO JOHN MCCO|60.2|0||0|6245
MCCOLLISTER FOR PSC|07CAC01064|10/06/2008|09/19/2008|US POST OFFICE|8451 WEST CENTER ROAD, OMAHA, NE |STAMPS|42|0||0|6245
MCCOLLISTER FOR PSC|07CAC01064|10/06/2008|09/29/2008|US POST OFFICE|8451 WEST CENTER ROAD, OMAHA, NE |STAMPS|2100|0||0|6245
MCCOLLISTER FOR PSC|07CAC01064|10/06/2008|09/30/2008|TRANSFORMATION MARKETING, INC.|BOX 111, PANAMA, NE 68419|MEDIA PRODUCTION|3424|0||0|6245
MCCOLLISTER FOR PSC|07CAC01064|10/06/2008|09/30/2008|MAVERICK POLITICAL|4642 SOUTH 132ND STREET, OMAHA, NE |MAIL PRODUCTION|2100|0||0|6245
MCCOLLISTER FOR PSC|07CAC01064|10/06/2008|09/27/2008|US POST OFFICE|8451 WESST CENTER ROAD, OMAHA|STAMPS - PAYABLE TO JOHN MCCOLLISTER|42|0||0|6245
KEN HAAR FOR LEGISLATURE|08CAC01089|10/06/2008|06/15/2008|ALCHEMY ASSOCIATES, LLC|PO BOX 83481 LINCOLN, NE 68501|CAMPAIGN MANAGEMENT|0|1|07/25/2008|750|6246
KEN HAAR FOR LEGISLATURE|08CAC01089|10/06/2008|04/28/2008|GOLDENROD PRINTING||PRINTING & REPRODUCTION|0|1|08/19/2008|5518.92|6246
CITIZENS FOR MARVIN|07CAC01043|10/06/2008|09/25/2008|GOLDENROD DIGITAL COLOR PRINT|2801 CORNHUSKER HWY, LINCOLN, NE 68504|PRINTING & REPRODUCTION|7315.59|0||0|6417
LAUTENBAUGH FOR LEGISLATURE|08CAC01096|10/06/2008|06/12/2008|SCOTT LAUTENBAUGH|16407 TAYLOR ST OMAHA, NE 68116|REIMBURSEMENT-POSTAGE, MILEAGE & ELECTION GATHERIN|0|1|06/23/2008|419.25|6419
LAUTENBAUGH FOR LEGISLATURE|08CAC01096|10/06/2008|06/01/2008|PHILIP M YOUNG COMPANY|233 S 13 STE 800 LINCOLN, NE 68508|CAMPAIGN CONSULTING|0|1|07/28/2008|1358.02|6419
LAUTENBAUGH FOR LEGISLATURE|08CAC01096|10/06/2008|08/04/2008|THE PHILIP M. YOUNG COMPANY|233 SOUTH 13, #800F, LINCOLN, NE |CAMPAIGN CONSULTING|2811.08|0||0|6419
LAUTENBAUGH FOR LEGISLATURE|08CAC01096|10/06/2008|09/30/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN, NE 68504|PRINTING|1134.2|0||0|6419
JERRY JOY FOR LEGISLATURE |08CAC01148|10/06/2008|09/30/2008|JERRY JOY|401 N ELM STELLA, NE 68442|NEWSPAPER & RADIO ADVERTISING & PROMOTIONALS|2412.18|0||0|6425
COMMITTEE TO ELECT EUREK FOR NE LEGISLATURE|07CAC01058|10/07/2008|09/22/2008|AXIOM STRATEGIES, LLC|2345 GRAND BLVD, KANSAS CITY, MO|TELEPHONE INTERVIEWS|2500|0||0|6428
MCGOWAN FOR MUD|08CAC01103|10/07/2008|09/28/2008|PROFORMA|PO BOX 2909 SHAWNEE MISSION, KS, 66201|YARD SIGNS|1103.82|0||0|6438
MCGOWAN FOR MUD|08CAC01103|10/07/2008|09/28/2008|NORTH OMAHA STAR|2216 N. 24TH ST., OMAHA, NE 68110|NEWSPAPER ADS|296|0||0|6438
GARWOOD FOR LEGISLATURE |08CAC01078|10/08/2008|09/15/2008|ACCOUNTING PLUS|100 SO PEARL ST WAYNE, NE 68787|ACCOUNTING, REPORTING TO NADC, CONFERENCE|318.75|0||0|4684
GREGG NEUHAUS FOR LEGISLATURE|08CAC01091|10/07/2008|06/01/2008|COPYCAT PRINTING & SIGNS|365 N BROADWELL AVE GRAND ISLAND, NE 68803|YARD SIGNS, SIGN FRAMES, DOOR HANGERS, NOTE PADS|0|0||2000|4683
GREGG NEUHAUS FOR LEGISLATURE|08CAC01091|06/20/2008|05/20/2008|CHOQUETTE, KENZIE|907 UNIVERSITY, HASTINGS, NE 68901|RESEARCH, COORDINATING AND CONSULTING|1000|0||0|4499
SCHILZ FOR LEGISLATURE|08CAC01080|10/07/2008|09/30/2008|SCHILZ, KEN|417 CRESTVIEW DR., OGALLALA, NE|UNPAID MILEAGE|1233.68|0||0|4690
BUILDING A BETTER NEBRASKA WITH AMENDMENT 1 COMMIT|06BQC00143|10/18/2007|11/30/2006|THREE EAGLES COMMUNICATIONS|3800 CORNHUSKER HWY|RADIO ADS|0|1|01/10/2007|652.8|4629
BUILDING A BETTER NEBRASKA WITH AMENDMENT 1 COMMIT|06BQC00143|10/18/2007|12/10/2006|PHILIP M YOUNG COMPANY|233 SOUTH 13TH STREET LINCOLN,NE|CONSULTING|0|1|06/22/2007|3800|4629
TOM CARLSON FOR LEGISLATURE|05CAC00733|01/07/2008|12/30/2005|TOM CARLSON|1112 BROWN ST. HOLDREGE NE 68949|MILEAGE/TRAVEL EXPENSES|0|1|12/30/2007|690.36|4979
TOM CARLSON FOR LEGISLATURE|05CAC00733|01/07/2008|10/03/2006|CARLSON, TOM||MILEAGE & TRAVEL|0|1|12/30/2007|1957.12|4979
TOM CARLSON FOR LEGISLATURE|05CAC00733|01/07/2008|12/28/2006|CARLSON, TOM||MILEAGE/TRAVEL|0|1|12/30/2007|1644.61|4979
TOM CARLSON FOR LEGISLATURE|05CAC00733|01/07/2008|04/04/2006|TOM CARLSON|HOLDREGE, NE|MILEAGE/TRAVEL|0|1|12/30/2007|1176.58|4979
SIVICK FOR CITY COUNCIL|99CAC00550|02/08/2005|02/02/2003|UNIONIST PRINTING             |1309 NW RADIAL HWY                                |CAMPAIGN LITERATURE, POSTAGE                      |0|1|01/01/2004|1922.49|2856
SIVICK FOR CITY COUNCIL|99CAC00550|02/03/2009|12/31/2005|UNIONIST PRINTING|NOT GIVEN|PRINTING AND POSTAGE|0|1|12/31/2008|1922.49|5994
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|04/12/2001|ART-FAC GRAPHICS, INC.        |13333 A ST, OMAHA, NE 68144                       |SIGNS/STICKERS                                    |0|1|05/25/2001|5302.25|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|02/24/2001|POSTMASTER                    |4433 S. 132                                       |POSTAGE                                           |0|1|06/15/2001|68|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|02/05/2001|JQ OFFICE EQUIPMENT           |4503 S 90TH                                       |DRUM/TONER                                        |0|1|05/02/2001|476.06|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|03/13/2001|BILLY'S RESTAURANT            |1301 H STREET                                     |FUNDRAISER/CATERING                               |0|1|05/05/2001|912.64|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|12/22/2000|ALL MAKES OFFICE EQUIPMENT    |2558 FARNAM STREET                                |RENTAL-FAX                                        |0|1|03/07/2001|90|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|12/26/2000|ALL MAKES OFFICE EQUIPMENT    |2558 FARNAM STREET                                |RENTAL & METER BILLING-COPIER                     |0|1|03/15/2001|247.96|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|12/27/2000|AUTOMATIC PRINTING, INC.      |1713 CUMING STREET                                |PRINTING ENVELOPES, LETTERHEAD, RSVP, BIO/KICK OFF|0|1|03/19/2001|3264.23|2470
MICHAEL G. FAHEY FOR MAYOR|99CAC00442|01/29/2002|12/01/2000|REGISTERED PRINTING, INC.     |2401 N 11TH STREET                                |MAILING                                           |0|1|03/01/2001|8839.5|2470
FRIENDS OF RICH PAHLS|99CAC00666|01/30/2008|12/29/2006|JOHN SIELER & ASSOCIATES|7801 WOOLWORTH, OMAHA NE 68124|CAMPAIGN MATERIALS(SIGNS, BUMPER STICKERS, )|0|1|10/05/2007|5000|6494
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|03/29/1999|03/01/1999|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |0|1|03/11/1999|5204.77|269
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|03/29/1999|03/22/1999|JONATHAN COOK FOR CITY COUNCIL|2701 STRATFORD AVE LINCOLN, NE|650 SIGNS FROM PRIOR CAMPAIGN|1105|0||0|269
KEN TRINKLE FOR BELLEVUE CITY COUNCIL|08CAC01122|01/05/2009|08/25/2008|QUICK MAILING SERVICE|2315 N ST OMAHA, NE 68107|PRINTING OF MAILING LABELS|0|1|11/07/2008|800|5489
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|03/29/1999|03/05/1999|MJ MARKETING|3901 NORTH 69TH STREET LINCOLN NE|T-SHIRTS|171.88|0||0|269
KEN TRINKLE FOR BELLEVUE CITY COUNCIL|08CAC01122|01/05/2009|09/29/2008|RICHMONT VILLAGE|702 FT. CROOK RD. N. BELLEVUE, NE 68005|FUND RAISING EVENT SUPPLIES|0|1|10/21/2008|100|5489
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|04/26/1999|03/05/1999|MJ MARKETING|3901 NORTH 69TH STREET LINCOLN NE|T-SHIRTS|0|1|04/01/1999|171.88|270
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|06/15/1999|06/14/1999|GOLDENROD PRINTING            |329 S. 11TH STREET LINCOLN, NE 68508|PRINTING/POSTAGE                                  |19000|0||0|271
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|02/01/2000|06/14/1999|GOLDENROD PRINTING            |329 S. 11TH STREET LINCOLN, NE 68508|PRINTING/POSTAGE                                  |0||10/01/1999|2000|272
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|02/01/2001|06/14/1999|GOLDENROD PRINTING            |329 S. 11TH STREET LINCOLN, NE 68508|PRINTING/POSTAGE                                  |0|1|01/06/2000|17000|273
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|02/01/2001|10/01/1999|GOLDENROD PRINTING            |329 SOUTH 11TH STREET                             |PRINTING/POSTAGE                                  |0|1|01/05/2000|17000|273
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/01/2009|COMPLETE CAMPAIGNS|3635 RUFFIN RD FL 3 SAN DIEGO, CA 92123|BROADCAST EMAILS|295.15|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/02/2009|BEN SALAZAR/NUESTRO MUNDO|3661 DAVENPORT ST OMAHA, NE 68131|APRIL ADVERTISING|500|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/02/2009|MB PUBLIC AFFAIRS INC.|1215 K ST STE 2150 SACRAMENTO, CA 95814|RESEARCH SERVICES|10100|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/02/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S 120TH ST OMAHA, NE 68144|POSTCARD PRINTING MAIL PREP|2910.13|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/06/2009|MR. NICK SCHINKER|15041 K CIRCLE OMAHA, NE 68137|WRITING SERVICES|1912.5|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/06/2009|PUBLIC OPINION STRATEGIES|214 N FAYETTE ST ALEXANDRIA, VA 22314|SURVEY|12500|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/06/2009|ROBERTS ADVERTISING|4030 S 108TH ST OMAHA, NE 68137|T-SHIRTS|534.12|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/08/2009|APRIL KARSTENS|1514 S 182ND CIRCLE OMAHA, NE 68130|FUNDRAISER EVENT REIMBURSEMENT|513.33|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/08/2009|TOWER KOUNTZE|300 S 16TH ST APT. 904 OMAHA, NE 68102|ADVERTISING REIMBURSEMENT|470.25|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/09/2009|REGENCY LODGE|909 S 107TH AVE OMAHA, NE 68114|PRIMARY NIGHT PARTY|669.4|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/09/2009|OMAHA COUNTRY CLUB|6900 COUNTRY CLUB RD OMAHA, NE 68152|FUNDRAISING EVENT|2092.49|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/21/2009|OMAHA PUBLIC POWER DISTRICT |444 S 16TH ST OMAHA, NE 68102|ELECTRICAL SERVICE 3/17-4/17|284.42|0||0|4945
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|05/05/2009|03/31/2009|ALL MAKES OFFICE EQUIPMENT|2558 FARNAM ST OMAHA, NE 68131|OFFICE FURNITURE RENTAL FOR HQ|267.5|0||0|4986
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|05/05/2009|04/22/2009|JEFF SHEPHERD|343 NORTH 76TH ST OMAHA, NE 68113|APRIL EXPENSES PER REPORT|510.76|0||0|4986
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|01/29/2009|12/31/2008|ALL MAKES OFFICE EQUIPMENT|2558 FARNAM ST OMAHA, NE 68131|OFFICE FURNITURE RENTAL FOR HQ|267.5|0||0|4803
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|05/05/2009|04/15/2009|JIM SUTTLE|6054 COUNTRY CLUB OAKS PLACE OMAHA, NE 68152|PER EXPENSE REPORT, 1ST HALF APRIL 09 EXPENSES|608.61|0||0|4986
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|01/28/2009|AXIOM STRATEGIES|2345 GRAND BLVD, KANSAS CITY, MO|SURVEY CHARGES|0|1|03/30/2009|10872|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|02/26/2009|CAPITOL HILL CLUB|300 1ST STREET SE, WASHINGTON, DC|ROOM FOOD CHARGES FOR FUNDRAISER|0|1|04/01/2009|1140.48|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/12/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S. 120TH STREET, OMAHA, NE|DESIGN, PRINTING|0|1|04/02/2009|1154.9|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/17/2009|CRICKET COMMUNICATIONS|13421 W. CENTER ROAD, OMAHA, NE|CELL PHONE CHARGES|0|1|04/17/2009|361.23|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/20/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S. 120TH STREET, OMAHA, NE|CHASE POSTCARD|0|1|04/15/2009|2210.35|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/04/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S. 120TH STREET, OMAHA, NE|STICKERS, PRINTING, POSTAGE|0|1|04/02/2009|9295.09|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/13/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S. 120TH STREET, OMAHA, NE|MAIL PREP, POSTAGE, PRINTING|0|1|04/02/2009|6057.11|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/19/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S. 120TH STREET, OMAHA, NE|PHONE CALLS|0|1|04/23/2009|12008.82|4945
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/01/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|FOOTBALL ROSTERS|1979.5|0||0|5374
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/04/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|9/29 ABSENTEE BALLOT MAILING|2883.49|0||0|5374
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/06/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|10/2 ABSENTEE BALLOT MAILING|175.85|0||0|5374
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/07/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|POSTCARD MAILERS|3204.65|0||0|5374
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/10/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|10/7 & 10/8 ABSENTEE BALLOT MAILING|305.1|0||0|5374
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/11/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|PALM CARDS|3734.3|0||0|5374
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/02/2008|KEMPER & COMPANY, LLC|4550 MAIN ST, STE. 202 KANSAS CITY, MO 64111|WEBSITE REVISIONS; MEDIA RELATIONS; CREATIVE DESIG|545|0||0|5374
LORENZEN 2008|08CAC01081|10/28/2008|10/20/2008|MAVERICK POLITICAL |1605 SO 176TH ST OMAHA, NE 68130|INVOICE #19 GENERAL CONSULTING|1000|0||0|5375
LORENZEN 2008|08CAC01081|10/28/2008|10/19/2008|MAVERICK POLITICAL |1605 SO 176TH ST OMAHA, NE 68130|INVOICE #20 CREATIVE & PRINT OF AB CHASER|823.25|0||0|5375
LORENZEN 2008|08CAC01081|10/28/2008|10/18/2008|MAVERICK POLITICAL |1605 SO 176TH ST OMAHA, NE 68130|INVOICE #21 CREATIVE, PRINT, & POSTAGE FOR LEADERS|3926.34|0||0|5375
LORENZEN 2008|08CAC01081|10/28/2008|10/17/2008|MAVERICK POLITICAL |1605 SO 176TH ST OMAHA, NE 68130|INVOICE #22 DESIGN OF IMMIGRATION & ECONOMY MAIL|1000|0||0|5375
FRIENDS FOR ANDERSON|08CAC01117|10/31/2008|05/04/2008|HEARTLAND SIGNS|3640 SO 138TH ST OMAHA, NE 68144|POLITICAL CAMPAIGN SIGNS|0||06/25/2008|2000|5378
KEN HAAR FOR LEGISLATURE|08CAC01089|10/27/2008|10/06/2008|PIONEER PROMOTIONS AND BUSINES||YARDSIGNS|1199.55|0||0|4659
CITIZENS FOR FAMILY & FUN|08BQC00228|10/25/2005|09/17/2005|RESEARCH ASSOCIATES|830 LYNCREST LINCOLN, NE 68510|VIDEO, PRODUCTION & PLANNING|2000|0||0|4487
CITIZENS FOR FAMILY & FUN|08BQC00228|01/30/2007|09/17/2005|RESEARCH ASSOCIATES|830 LYNCREST LINCOLN, NE 68510|VIDEO, PRODUCTION & PLANNING|0|1|01/25/2006|2000|4488
GARWOOD FOR LEGISLATURE |08CAC01078|10/08/2008|06/17/2008|ACCOUNTING PLUS||CONSULTING|0|1|09/01/2008|280|4684
SCUDDER FOR REGENT|07CAC01038|10/27/2008|09/09/2008|PIONEER PROMOTIONS & BUSINESS|9270 PIONEER CT., LINCOLN, NE 68520|YARD SIGNS|0|1|10/01/2008|2910.4|5374
SIVICK FOR CITY COUNCIL|99CAC00550|02/07/2003|03/18/2001|MAMA'S PIZZA                  |715 N SADDLE CREEK                                |FOOD & BEVERAGE                                   |0|1|11/01/2001|260.02|2854
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|04/27/2009|04/03/2009|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY, LINCOLN, NE|MAILING, POSTAGE, PRINTING & REPRODUCTION|4663.09|0||0|4498
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|04/27/2009|04/08/2009|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY, LINCOLN, NE|MAILING AND POSTAGE|1967.16|0||0|4498
